"title,description,option_text,wealth,happiness"
"Retirement Planning,You're nearing retirement age and need to decide how to allocate your savings,Splurge on luxury items and travel now, worrying about retirement later.,-1,1"
"Elderly care,As you age, you need assistance with daily activities,Move into a high-end retirement community with comprehensive care.,-1,1"
"Elderly care,As you age, you need assistance with daily activities,Hire a live-in caregiver for personalized attention.,-1,1"
"Elderly care,As you age, you need assistance with daily activities,Rely solely on family members for support.,-1,-1"
"Legacy choices,You're making decisions about your will and estate planning. What do you do?,Leave a significant portion of your wealth to charitable causes.,-1,1"
"Legacy choices,You're making decisions about your will and estate planning. What do you do?,Prioritize leaving a financial legacy for your descendants.,1,1"
"Legacy choices,You're making decisions about your will and estate planning. What do you do?,Spend your wealth on fulfilling lifelong dreams and experiences.,-1,1"
"End-of-Life Care,You're facing terminal illness and must decide on your end-of-life care,Pursue aggressive medical treatment to prolong your life.,-1,1"
"End-of-Life Care,You're facing terminal illness and must decide on your end-of-life care,Choose palliative care for comfort and quality of life.,-1,1"
"End-of-Life Care,You're facing terminal illness and must decide on your end-of-life care,Reject medical intervention and focus on quality time with loved ones.,1,1"
